golden_zephyr,https://disneyland.disney.go.com/attractions/disney-california-adventure/golden-zephyr/
goofys_sky_school,https://disneyland.disney.go.com/attractions/disney-california-adventure/goofys-sky-school/
guardians_of_the_galaxy,https://disneyland.disney.go.com/attractions/disney-california-adventure/guardians-galaxy-mission-breakout/
jessies_critter_carousel,https://disneyland.disney.go.com/attractions/disney-california-adventure/jessies-critter-carousel/
incredicoaster,https://disneyland.disney.go.com/attractions/disney-california-adventure/incredicoaster/
jumpin_jellyfish,https://disneyland.disney.go.com/attractions/disney-california-adventure/jumpin-jellyfish/
luigis_rollickin_roadsters,https://disneyland.disney.go.com/attractions/disney-california-adventure/luigis-rollickin-roadsters/
maters_junkyard_jamboree,https://disneyland.disney.go.com/attractions/maters-graveyard-jam-boo-ree/
monsters_inc,https://disneyland.disney.go.com/attractions/disney-california-adventure/monsters-inc/
pixar_pal_a_round,https://disneyland.disney.go.com/attractions/disney-california-adventure/pixar-pal-a-round-swinging/
radiator_springs_racers,https://disneyland.disney.go.com/attractions/disney-california-adventure/radiator-springs-racers/
soarin,https://disneyland.disney.go.com/attractions/disney-california-adventure/soarin-over-california/
silly_symphony_swings,https://disneyland.disney.go.com/attractions/disney-california-adventure/silly-symphony-swings/
the_little_mermaid,https://disneyland.disney.go.com/attractions/disney-california-adventure/little-mermaid-ariels-undersea-adventure/
toy_story_midway_mania,https://disneyland.disney.go.com/attractions/disney-california-adventure/toy-story-mania/
